date,open,high,low,close,volume,ma,pivot,r1,ret,cap,dailyr
2016-03-08,550.8,552.95,540.85,549.15,13405.093333333334,438.5050000000001,538.0666666666667,414.30000000000007,1531.399999999955,115100.54999999993,115100.54999999993
2016-03-10,543.5,552.3,543.5,550.0,10987.84,438.4550000000001,547.6500000000001,535.2833333333334,1094.399999999987,116194.94999999992,116194.94999999992
2016-03-11,475.1,479.8,473.7,476.0,12409.186666666666,432.2550000000001,548.6,551.8000000000002,0.0,116194.94999999992,116194.94999999992
2016-03-14,417.7,422.25,413.25,416.75,18466.933333333334,429.29000000000013,476.5,623.5,0.0,116194.94999999992,116194.94999999992
2016-03-15,417.7,421.75,416.1,418.8,18370.81333333333,427.2500000000001,417.4166666666667,539.75,0.0,116194.94999999992,116194.94999999992
2016-03-16,419.45,426.2,411.0,425.9,15345.706666666667,427.86,418.8833333333334,418.73333333333335,1232.0,117426.94999999992,117426.94999999992
2016-03-17,429.7,435.0,425.5,426.6,18600.28,428.94000000000005,421.0333333333333,426.76666666666677,-1174.7999999999838,116252.14999999994,116252.14999999994
2016-03-18,429.4,437.5,429.1,437.0,13185.373333333333,430.59250000000003,429.0333333333333,416.5666666666666,-1162.2000000000103,115089.94999999992,115089.94999999992
2016-03-21,440.0,445.45,438.25,444.55,17125.906666666666,432.9599999999999,434.5333333333333,428.9666666666666,-1150.8000000000436,113939.14999999988,113939.14999999988
2016-03-22,446.8,447.45,434.35,440.5,15591.0,435.36749999999995,442.75,430.8166666666666,0.0,113939.14999999988,113939.14999999988
2016-03-23,439.0,441.2,435.15,437.8,14158.24,437.4049999999999,440.76666666666665,451.15,0.0,113939.14999999988,113939.14999999988
2016-03-28,437.85,437.85,419.8,425.5,22389.133333333335,439.4199999999999,438.04999999999995,446.3833333333333,0.0,113939.14999999988,113939.14999999988
2016-03-29,423.25,432.9,422.5,429.0,15458.453333333333,441.4749999999999,427.7166666666667,456.2999999999999,0.0,113939.14999999988,113939.14999999988
2016-03-30,433.55,445.65,432.1,444.25,12683.706666666667,444.6874999999999,428.1333333333334,432.9333333333334,4719.75,118658.89999999988,118658.89999999988
2016-03-31,443.45,448.7,438.2,445.5,13389.8,447.6424999999999,440.6666666666667,424.16666666666674,-1186.8000000000352,117472.09999999985,117472.09999999985
2016-04-01,448.5,448.5,436.7,437.55,13877.32,450.6499999999999,444.1333333333334,443.1333333333334,0.0,117472.09999999985,117472.09999999985
2016-04-02,385.75,386.6,373.5,384.6,18730.8,450.87999999999994,440.9166666666667,451.5666666666668,0.0,117472.09999999985,117472.09999999985
