2017-09-27, Close, 1169.59
2017-09-28, Close, 1160.89
2017-09-29, Close, 1141.90
2017-10-03, Close, 1147.76
2017-10-04, Close, 1144.89
2017-10-05, Close, 1138.93
2017-10-06, Close, 1146.92
2017-10-09, Close, 1150.42
2017-10-10, Close, 1152.83
2017-10-11, Close, 1172.10
2017-10-12, Close, 1194.53
2017-10-13, Close, 1199.40
2017-10-16, Close, 1211.50
2017-10-17, Close, 1216.26
2017-10-17, BUY CREATE, 1216.26
2017-10-18, BUY EXECUTED, Price: 1216.47, Cost: 100000.00, Comm 200.00
2017-10-18, Close, 1212.53
2017-10-18, SELL EXIT, 1212.53
2017-10-19, SELL EXECUTED, Price: 1215.06, Cost: 100000.00, Comm 200.00
2017-10-19, OPERATION PROFIT, GROSS -105.75, NET -505.75
2017-10-19, Close, 1211.26
2017-10-23, Close, 1213.14
2017-10-24, Close, 1208.69
2017-10-25, Close, 1203.28
2017-10-26, Close, 1193.39
2017-10-27, Close, 1214.75
2017-10-30, Close, 1229.74
2017-10-31, Close, 1233.41
2017-11-01, Close, 1223.47
2017-11-02, Close, 1234.42
2017-11-03, Close, 1231.58
2017-11-06, Close, 1252.95
2017-11-06, BUY CREATE, 1252.95
2017-11-07, BUY EXECUTED, Price: 1255.03, Cost: 100000.00, Comm 200.00
2017-11-07, Close, 1273.86
2017-11-07, SELL EXIT, 1273.86
2017-11-08, SELL EXECUTED, Price: 1279.95, Cost: 100000.00, Comm 200.00
2017-11-08, OPERATION PROFIT, GROSS 1869.00, NET 1469.00
2017-11-08, Close, 1285.59
2017-11-09, Close, 1286.24
2017-11-10, Close, 1273.25
2017-11-13, Close, 1296.84
2017-11-14, Close, 1276.00
2017-11-15, Close, 1271.63
2017-11-16, Close, 1291.06
2017-11-17, Close, 1272.57
2017-11-20, Close, 1270.75
2017-11-21, Close, 1256.41
2017-11-22, Close, 1260.03
2017-11-23, Close, 1260.32
2017-11-24, Close, 1263.52
2017-11-27, Close, 1262.49
2017-11-28, Close, 1262.22
2017-11-29, Close, 1249.46
2017-11-30, Close, 1239.52
2017-12-01, Close, 1236.20
2017-12-04, Close, 1237.34
2017-12-05, Close, 1238.84
2017-12-06, Close, 1237.78
